11g/10g: [10g] --- [11g]  
20g: [20g, 99480g, 11g] --- [99511g]  
99522g/4580g: [4580g, 99480g] --- [11g, 99511g]  
99522g/4590g: [4590g, 99480g] --- [11g, 99511g]  
99522g/4600g: [4600g, 99480g] --- [11g, 99511g]  
99522g/4610g: [4610g, 99480g] --- [11g, 99511g]  
99522g/4620g: [4620g, 99480g] --- [11g, 99511g]  
99522g/4630g: [4630g, 99480g] --- [11g, 99511g]  
99522g/4640g: [4640g, 99480g] --- [11g, 99511g]  
99522g/4650g: [4650g, 99480g] --- [11g, 99511g]  
99522g/4660g: [4660g, 99480g] --- [11g, 99511g]  
99522g/4670g: [4670g, 99480g] --- [11g, 99511g]  
99522g/4680g: [4680g, 99480g] --- [11g, 99511g]  
99522g/4690g: [4690g, 99480g] --- [11g, 99511g]  
99522g/4700g: [4700g, 99480g] --- [11g, 99511g]  
99522g/4710g: [4710g, 99480g] --- [11g, 99511g]  
99522g/4720g: [4720g, 99480g] --- [11g, 99511g]  
99522g/4730g: [4730g, 99480g] --- [11g, 99511g]  
99522g/4740g: [4740g, 99480g] --- [11g, 99511g]  
99522g/4750g: [4750g, 99480g] --- [11g, 99511g]  
99522g/4760g: [4760g, 99480g] --- [11g, 99511g]  
99522g/4770g: [4770g, 99480g] --- [11g, 99511g]  
99522g/4780g: [4780g, 99480g] --- [11g, 99511g]  
99522g/4790g: [4790g, 99480g] --- [11g, 99511g]  
99522g/4800g: [4800g, 99480g] --- [11g, 99511g]  
99522g/4810g: [4810g, 99480g] --- [11g, 99511g]  
99522g/4820g: [4820g, 99480g] --- [11g, 99511g]  
99522g/4830g: [4830g, 99480g] --- [11g, 99511g]  
99522g/4840g: [4840g, 99480g] --- [11g, 99511g]  
99522g/4850g: [4850g, 99480g] --- [11g, 99511g]  
99522g/4860g: [4860g, 99480g] --- [11g, 99511g]  
99522g/4870g: [4870g, 99480g] --- [11g, 99511g]  
99522g/4880g: [4880g, 99480g] --- [11g, 99511g]  
99522g/4890g: [4890g, 99480g] --- [11g, 99511g]  
99522g/4900g: [4900g, 99480g] --- [11g, 99511g]  
99522g/4910g: [4910g, 99480g] --- [11g, 99511g]  
99522g/4920g: [4920g, 99480g] --- [11g, 99511g]  
99522g/4930g: [4930g, 99480g] --- [11g, 99511g]  
99522g/4940g: [4940g, 99480g] --- [11g, 99511g]  
99522g/4950g: [4950g, 99480g] --- [11g, 99511g]  
99522g/4960g: [4960g, 99480g] --- [11g, 99511g]  
99522g/4970g: [4970g, 99480g] --- [11g, 99511g]  
99522g/4980g: [4980g, 99480g] --- [11g, 99511g]  
99522g/4990g: [4990g, 99480g] --- [11g, 99511g]  
99522g/5000g: [5000g, 99480g] --- [11g, 99511g]  
99522g/5010g: [5010g, 99480g] --- [11g, 99511g]  
99522g/5020g: [5020g, 99480g] --- [11g, 99511g]  
99522g/5030g: [5030g, 99480g] --- [11g, 99511g]  
99522g/5040g: [5040g, 99480g] --- [11g, 99511g]  
99522g/5050g: [5050g, 99480g] --- [11g, 99511g]  
99522g/5060g: [5060g, 99480g] --- [11g, 99511g]  
99522g/5070g: [5070g, 99480g] --- [11g, 99511g]  
99522g/5080g: [5080g, 99480g] --- [11g, 99511g]  
99522g/5090g: [5090g, 99480g] --- [11g, 99511g]  
99522g/5100g: [5100g, 99480g] --- [11g, 99511g]  
99522g/5110g: [5110g, 99480g] --- [11g, 99511g]  
99522g/5120g: [5120g, 99480g] --- [11g, 99511g]  
99522g/5130g: [5130g, 99480g] --- [11g, 99511g]  
99522g/5140g: [5140g, 99480g] --- [11g, 99511g]  
99522g/5150g: [5150g, 99480g] --- [11g, 99511g]  
99522g/5160g: [5160g, 99480g] --- [11g, 99511g]  
99522g/5170g: [5170g, 99480g] --- [11g, 99511g]  
99522g/5180g: [5180g, 99480g] --- [11g, 99511g]  
99522g/5190g: [5190g, 99480g] --- [11g, 99511g]  
99522g/5200g: [5200g, 99480g] --- [11g, 99511g]  
99522g/5210g: [5210g, 99480g] --- [11g, 99511g]  
99522g/5220g: [5220g, 99480g] --- [11g, 99511g]  
99522g/5230g: [5230g, 99480g] --- [11g, 99511g]  
99522g/5240g: [5240g, 99480g] --- [11g, 99511g]  
99522g/5250g: [5250g, 99480g] --- [11g, 99511g]  
99522g/5260g: [5260g, 99480g] --- [11g, 99511g]  
99522g/5270g: [5270g, 99480g] --- [11g, 99511g]  
99522g/5280g: [5280g, 99480g] --- [11g, 99511g]  
99522g/5290g: [5290g, 99480g] --- [11g, 99511g]  
99522g/5300g: [5300g, 99480g] --- [11g, 99511g]  
99522g/5310g: [5310g, 99480g] --- [11g, 99511g]  
99522g/5320g: [5320g, 99480g] --- [11g, 99511g]  
99522g/5330g: [5330g, 99480g] --- [11g, 99511g]  
99522g/5340g: [5340g, 99480g] --- [11g, 99511g]  
99522g/5350g: [5350g, 99480g] --- [11g, 99511g]  
99522g/5360g: [5360g, 99480g] --- [11g, 99511g]  
99522g/5370g: [5370g, 99480g] --- [11g, 99511g]  
99522g/5380g: [5380g, 99480g] --- [11g, 99511g]  
99522g/5390g: [5390g, 99480g] --- [11g, 99511g]  
99522g/5400g: [5400g, 99480g] --- [11g, 99511g]  
99522g/5410g: [5410g, 99480g] --- [11g, 99511g]  
99522g/5420g: [5420g, 99480g] --- [11g, 99511g]  
99522g/5430g: [5430g, 99480g] --- [11g, 99511g]  
99522g/5440g: [5440g, 99480g] --- [11g, 99511g]  
99522g/5450g: [5450g, 99480g] --- [11g, 99511g]  
99522g/5460g: [5460g, 99480g] --- [11g, 99511g]  
99522g/5470g: [5470g, 99480g] --- [11g, 99511g]  
99522g/5480g: [5480g, 99480g] --- [11g, 99511g]  
99522g/5490g: [5490g, 99480g] --- [11g, 99511g]  
99522g/5500g: [5500g, 99480g] --- [11g, 99511g]  
99522g/5510g: [5510g, 99480g] --- [11g, 99511g]  
99522g/5520g: [5520g, 99480g] --- [11g, 99511g]  
99522g/5530g: [5530g, 99480g] --- [11g, 99511g]  
99522g/5540g: [5540g, 99480g] --- [11g, 99511g]  
99522g/5550g: [5550g, 99480g] --- [11g, 99511g]  
99522g/5560g: [5560g, 99480g] --- [11g, 99511g]  
99522g/5570g: [5570g, 99480g] --- [11g, 99511g]  
99522g/5580g: [5580g, 99480g] --- [11g, 99511g]  
99522g/5590g: [5590g, 99480g] --- [11g, 99511g]  
99522g/5600g: [5600g, 99480g] --- [11g, 99511g]  
99522g/5610g: [5610g, 99480g] --- [11g, 99511g]  
99522g/5620g: [5620g, 99480g] --- [11g, 99511g]  
99522g/5630g: [5630g, 99480g] --- [11g, 99511g]  
99522g/5640g: [5640g, 99480g] --- [11g, 99511g]  
99522g/5650g: [5650g, 99480g] --- [11g, 99511g]  
99522g/5660g: [5660g, 99480g] --- [11g, 99511g]  
99522g/5670g: [5670g, 99480g] --- [11g, 99511g]  
99522g/5680g: [5680g, 99480g] --- [11g, 99511g]  
99522g/5690g: [5690g, 99480g] --- [11g, 99511g]  
99522g/5700g: [5700g, 99480g] --- [11g, 99511g]  
99522g/5710g: [5710g, 99480g] --- [11g, 99511g]  
99522g/5720g: [5720g, 99480g] --- [11g, 99511g]  
99522g/5730g: [5730g, 99480g] --- [11g, 99511g]  
99522g/5740g: [5740g, 99480g] --- [11g, 99511g]  
99522g/5750g: [5750g, 99480g] --- [11g, 99511g]  
99522g/5760g: [5760g, 99480g] --- [11g, 99511g]  
99522g/5770g: [5770g, 99480g] --- [11g, 99511g]  
99522g/5780g: [5780g, 99480g] --- [11g, 99511g]  
99522g/5790g: [5790g, 99480g] --- [11g, 99511g]  
99522g/5800g: [5800g, 99480g] --- [11g, 99511g]  
99522g/5810g: [5810g, 99480g] --- [11g, 99511g]  
99522g/5820g: [5820g, 99480g] --- [11g, 99511g]  
99522g/5830g: [5830g, 99480g] --- [11g, 99511g]  
99522g/5840g: [5840g, 99480g] --- [11g, 99511g]  
99522g/5850g: [5850g, 99480g] --- [11g, 99511g]  
99522g/5860g: [5860g, 99480g] --- [11g, 99511g]  
99522g/5870g: [5870g, 99480g] --- [11g, 99511g]  
99522g/5880g: [5880g, 99480g] --- [11g, 99511g]  
99522g/5890g: [5890g, 99480g] --- [11g, 99511g]  
99522g/5900g: [5900g, 99480g] --- [11g, 99511g]  
99522g/5910g: [5910g, 99480g] --- [11g, 99511g]  
99522g/5920g: [5920g, 99480g] --- [11g, 99511g]  
99522g/5930g: [5930g, 99480g] --- [11g, 99511g]  
99522g/5940g: [5940g, 99480g] --- [11g, 99511g]  
99522g/5950g: [5950g, 99480g] --- [11g, 99511g]  
99522g/5960g: [5960g, 99480g] --- [11g, 99511g]  
99522g/5970g: [5970g, 99480g] --- [11g, 99511g]  
99522g/5980g: [5980g, 99480g] --- [11g, 99511g]  
99522g/5990g: [5990g, 99480g] --- [11g, 99511g]  
99522g/6000g: [6000g, 99480g] --- [11g, 99511g]  
99522g/6010g: [6010g, 99480g] --- [11g, 99511g]  
99522g/6020g: [6020g, 99480g] --- [11g, 99511g]  
99522g/6030g: [6030g, 99480g] --- [11g, 99511g]  
99522g/6040g: [6040g, 99480g] --- [11g, 99511g]  
99522g/6050g: [6050g, 99480g] --- [11g, 99511g]  
99522g/6060g: [6060g, 99480g] --- [11g, 99511g]  
99522g/6070g: [6070g, 99480g] --- [11g, 99511g]  
99522g/6080g: [6080g, 99480g] --- [11g, 99511g]  
99522g/6090g: [6090g, 99480g] --- [11g, 99511g]  
99522g/6100g: [6100g, 99480g] --- [11g, 99511g]  
99522g/6110g: [6110g, 99480g] --- [11g, 99511g]  
99522g/6120g: [6120g, 99480g] --- [11g, 99511g]  
99522g/6130g: [6130g, 99480g] --- [11g, 99511g]  
99522g/6140g: [6140g, 99480g] --- [11g, 99511g]  
99522g/6150g: [6150g, 99480g] --- [11g, 99511g]  
99522g/6160g: [6160g, 99480g] --- [11g, 99511g]  
99522g/6170g: [6170g, 99480g] --- [11g, 99511g]  
99522g/6180g: [6180g, 99480g] --- [11g, 99511g]  
99522g/6190g: [6190g, 99480g] --- [11g, 99511g]  
99522g/6200g: [6200g, 99480g] --- [11g, 99511g]  
99522g/6210g: [6210g, 99480g] --- [11g, 99511g]  
99522g/6220g: [6220g, 99480g] --- [11g, 99511g]  
99522g/6230g: [6230g, 99480g] --- [11g, 99511g]  
99522g/6240g: [6240g, 99480g] --- [11g, 99511g]  
99522g/6250g: [6250g, 99480g] --- [11g, 99511g]  
99522g/6260g: [6260g, 99480g] --- [11g, 99511g]  
99522g/6270g: [6270g, 99480g] --- [11g, 99511g]  
99522g/6280g: [6280g, 99480g] --- [11g, 99511g]  
99522g/6290g: [6290g, 99480g] --- [11g, 99511g]  
99522g/6300g: [6300g, 99480g] --- [11g, 99511g]  
99522g/6310g: [6310g, 99480g] --- [11g, 99511g]  
99522g/6320g: [6320g, 99480g] --- [11g, 99511g]  
99522g/6330g: [6330g, 99480g] --- [11g, 99511g]  
99522g/6340g: [6340g, 99480g] --- [11g, 99511g]  
99522g/6350g: [6350g, 99480g] --- [11g, 99511g]  
99522g/6360g: [6360g, 99480g] --- [11g, 99511g]  
99522g/6370g: [6370g, 99480g] --- [11g, 99511g]  
99522g/6380g: [6380g, 99480g] --- [11g, 99511g]  
99522g/6390g: [6390g, 99480g] --- [11g, 99511g]  
99522g/6400g: [6400g, 99480g] --- [11g, 99511g]  
99522g/6410g: [6410g, 99480g] --- [11g, 99511g]  
99522g/6420g: [6420g, 99480g] --- [11g, 99511g]  
99522g/6430g: [6430g, 99480g] --- [11g, 99511g]  
99522g/6440g: [6440g, 99480g] --- [11g, 99511g]  
99522g/6450g: [6450g, 99480g] --- [11g, 99511g]  
99522g/6460g: [6460g, 99480g] --- [11g, 99511g]  
99522g/6470g: [6470g, 99480g] --- [11g, 99511g]  
99522g/6480g: [6480g, 99480g] --- [11g, 99511g]  
99522g/6490g: [6490g, 99480g] --- [11g, 99511g]  
99522g/6500g: [6500g, 99480g] --- [11g, 99511g]  
99522g/6510g: [6510g, 99480g] --- [11g, 99511g]  
99522g/6520g: [6520g, 99480g] --- [11g, 99511g]  
99522g/6530g: [6530g, 99480g] --- [11g, 99511g]  
99522g/6540g: [6540g, 99480g] --- [11g, 99511g]  
99522g/6550g: [6550g, 99480g] --- [11g, 99511g]  
99522g/6560g: [6560g, 99480g] --- [11g, 99511g]  
99522g/6570g: [6570g, 99480g] --- [11g, 99511g]  
99522g/6580g: [6580g, 99480g] --- [11g, 99511g]  
99522g/6590g: [6590g, 99480g] --- [11g, 99511g]  
99522g/6600g: [6600g, 99480g] --- [11g, 99511g]  
99522g/6610g: [6610g, 99480g] --- [11g, 99511g]  
99522g/6620g: [6620g, 99480g] --- [11g, 99511g]  
99522g/6630g: [6630g, 99480g] --- [11g, 99511g]  
99522g/6640g: [6640g, 99480g] --- [11g, 99511g]  
99522g/6650g: [6650g, 99480g] --- [11g, 99511g]  
99522g/6660g: [6660g, 99480g] --- [11g, 99511g]  
99522g/6670g: [6670g, 99480g] --- [11g, 99511g]  
99522g/6680g: [6680g, 99480g] --- [11g, 99511g]  
99522g/6690g: [6690g, 99480g] --- [11g, 99511g]  
99522g/6700g: [6700g, 99480g] --- [11g, 99511g]  
99522g/6710g: [6710g, 99480g] --- [11g, 99511g]  
99522g/6720g: [6720g, 99480g] --- [11g, 99511g]  
99522g/6730g: [6730g, 99480g] --- [11g, 99511g]  
99522g/6740g: [6740g, 99480g] --- [11g, 99511g]  
99522g/6750g: [6750g, 99480g] --- [11g, 99511g]  
99522g/6760g: [6760g, 99480g] --- [11g, 99511g]  
99522g/6770g: [6770g, 99480g] --- [11g, 99511g]  
99522g/6780g: [6780g, 99480g] --- [11g, 99511g]  
99522g/6790g: [6790g, 99480g] --- [11g, 99511g]  
99522g/6800g: [6800g, 99480g] --- [11g, 99511g]  
99522g/6810g: [6810g, 99480g] --- [11g, 99511g]  
99522g/6820g: [6820g, 99480g] --- [11g, 99511g]  
99522g/6830g: [6830g, 99480g] --- [11g, 99511g]  
99522g/6840g: [6840g, 99480g] --- [11g, 99511g]  
99522g/6850g: [6850g, 99480g] --- [11g, 99511g]  
99522g/6860g: [6860g, 99480g] --- [11g, 99511g]  
99522g/6870g: [6870g, 99480g] --- [11g, 99511g]  
99522g/6880g: [6880g, 99480g] --- [11g, 99511g]  
99522g/6890g: [6890g, 99480g] --- [11g, 99511g]  
99522g/6900g: [6900g, 99480g] --- [11g, 99511g]  
99522g/6910g: [6910g, 99480g] --- [11g, 99511g]  
99522g/6920g: [6920g, 99480g] --- [11g, 99511g]  
99522g/6930g: [6930g, 99480g] --- [11g, 99511g]  
99522g/6940g: [6940g, 99480g] --- [11g, 99511g]  
99522g/6950g: [6950g, 99480g] --- [11g, 99511g]  
99522g/6960g: [6960g, 99480g] --- [11g, 99511g]  
99522g/6970g: [6970g, 99480g] --- [11g, 99511g]  
99522g/6980g: [6980g, 99480g] --- [11g, 99511g]  
99522g/6990g: [6990g, 99480g] --- [11g, 99511g]  
99522g/7000g: [7000g, 99480g] --- [11g, 99511g]  
99522g/7010g: [7010g, 99480g] --- [11g, 99511g]  
99522g/7020g: [7020g, 99480g] --- [11g, 99511g]  
99522g/7030g: [7030g, 99480g] --- [11g, 99511g]  
99522g/7040g: [7040g, 99480g] --- [11g, 99511g]  
99522g/7050g: [7050g, 99480g] --- [11g, 99511g]  
99522g/7060g: [7060g, 99480g] --- [11g, 99511g]  
99522g/7070g: [7070g, 99480g] --- [11g, 99511g]  
99522g/7080g: [7080g, 99480g] --- [11g, 99511g]  
99522g/7090g: [7090g, 99480g] --- [11g, 99511g]  
99522g/7100g: [7100g, 99480g] --- [11g, 99511g]  
99522g/7110g: [7110g, 99480g] --- [11g, 99511g]  
99522g/7120g: [7120g, 99480g] --- [11g, 99511g]  
99522g/7130g: [7130g, 99480g] --- [11g, 99511g]  
99522g/7140g: [7140g, 99480g] --- [11g, 99511g]  
99522g/7150g: [7150g, 99480g] --- [11g, 99511g]  
99522g/7160g: [7160g, 99480g] --- [11g, 99511g]  
99522g/7170g: [7170g, 99480g] --- [11g, 99511g]  
99522g/7180g: [7180g, 99480g] --- [11g, 99511g]  
99522g/7190g: [7190g, 99480g] --- [11g, 99511g]  
99522g/7200g: [7200g, 99480g] --- [11g, 99511g]  
99522g/7210g: [7210g, 99480g] --- [11g, 99511g]  
99522g/7220g: [7220g, 99480g] --- [11g, 99511g]  
99522g/7230g: [7230g, 99480g] --- [11g, 99511g]  
99522g/7240g: [7240g, 99480g] --- [11g, 99511g]  
99522g/7250g: [7250g, 99480g] --- [11g, 99511g]  
99522g/7260g: [7260g, 99480g] --- [11g, 99511g]  
99522g/7270g: [7270g, 99480g] --- [11g, 99511g]  
99522g/7280g: [7280g, 99480g] --- [11g, 99511g]  
99522g/7290g: [7290g, 99480g] --- [11g, 99511g]  
99522g/7300g: [7300g, 99480g] --- [11g, 99511g]  
99522g/7310g: [7310g, 99480g] --- [11g, 99511g]  
99522g/7320g: [7320g, 99480g] --- [11g, 99511g]  
99522g/7330g: [7330g, 99480g] --- [11g, 99511g]  
99522g/7340g: [7340g, 99480g] --- [11g, 99511g]  
99522g/7350g: [7350g, 99480g] --- [11g, 99511g]  
99522g/7360g: [7360g, 99480g] --- [11g, 99511g]  
99522g/7370g: [7370g, 99480g] --- [11g, 99511g]  
99522g/7380g: [7380g, 99480g] --- [11g, 99511g]  
99522g/7390g: [7390g, 99480g] --- [11g, 99511g]  
99522g/7400g: [7400g, 99480g] --- [11g, 99511g]  
99522g/7410g: [7410g, 99480g] --- [11g, 99511g]  
99522g/7420g: [7420g, 99480g] --- [11g, 99511g]  
99522g/7430g: [7430g, 99480g] --- [11g, 99511g]  
99522g/7440g: [7440g, 99480g] --- [11g, 99511g]  
99522g/7450g: [7450g, 99480g] --- [11g, 99511g]  
99522g/7460g: [7460g, 99480g] --- [11g, 99511g]  
99522g/7470g: [7470g, 99480g] --- [11g, 99511g]  
99522g/7480g: [7480g, 99480g] --- [11g, 99511g]  
99522g/7490g: [7490g, 99480g] --- [11g, 99511g]  
99522g/7500g: [7500g, 99480g] --- [11g, 99511g]  
99522g/7510g: [7510g, 99480g] --- [11g, 99511g]  
99522g/7520g: [7520g, 99480g] --- [11g, 99511g]  
99522g/7530g: [7530g, 99480g] --- [11g, 99511g]  
99522g/7540g: [7540g, 99480g] --- [11g, 99511g]  
99522g/7550g: [7550g, 99480g] --- [11g, 99511g]  
99522g/7560g: [7560g, 99480g] --- [11g, 99511g]  
99522g/7570g: [7570g, 99480g] --- [11g, 99511g]  
99522g/7580g: [7580g, 99480g] --- [11g, 99511g]  
99522g/7590g: [7590g, 99480g] --- [11g, 99511g]  
99522g/7600g: [7600g, 99480g] --- [11g, 99511g]  
99522g/7610g: [7610g, 99480g] --- [11g, 99511g]  
99522g/7620g: [7620g, 99480g] --- [11g, 99511g]  
99522g/7630g: [7630g, 99480g] --- [11g, 99511g]  
99522g/7640g: [7640g, 99480g] --- [11g, 99511g]  
99522g/7650g: [7650g, 99480g] --- [11g, 99511g]  
99522g/7660g: [7660g, 99480g] --- [11g, 99511g]  
99522g/7670g: [7670g, 99480g] --- [11g, 99511g]  
99522g/7680g: [7680g, 99480g] --- [11g, 99511g]  
99522g/7690g: [7690g, 99480g] --- [11g, 99511g]  
99522g/7700g: [7700g, 99480g] --- [11g, 99511g]  
99522g/7710g: [7710g, 99480g] --- [11g, 99511g]  
99522g/7720g: [7720g, 99480g] --- [11g, 99511g]  
99522g/7730g: [7730g, 99480g] --- [11g, 99511g]  
99522g/7740g: [7740g, 99480g] --- [11g, 99511g]  
99522g/7750g: [7750g, 99480g] --- [11g, 99511g]  
99522g/7760g: [7760g, 99480g] --- [11g, 99511g]  
99522g/7770g: [7770g, 99480g] --- [11g, 99511g]  
99522g/7780g: [7780g, 99480g] --- [11g, 99511g]  
99522g/7790g: [7790g, 99480g] --- [11g, 99511g]  
99522g/7800g: [7800g, 99480g] --- [11g, 99511g]  
99522g/7810g: [7810g, 99480g] --- [11g, 99511g]  
99522g/7820g: [7820g, 99480g] --- [11g, 99511g]  
99522g/7830g: [7830g, 99480g] --- [11g, 99511g]  
99522g/7840g: [7840g, 99480g] --- [11g, 99511g]  
99522g/7850g: [7850g, 99480g] --- [11g, 99511g]  
99522g/7860g: [7860g, 99480g] --- [11g, 99511g]  
99522g/7870g: [7870g, 99480g] --- [11g, 99511g]  
99522g/7880g: [7880g, 99480g] --- [11g, 99511g]  
99522g/7890g: [7890g, 99480g] --- [11g, 99511g]  
99522g/7900g: [7900g, 99480g] --- [11g, 99511g]  
99522g/7910g: [7910g, 99480g] --- [11g, 99511g]  
99522g/7920g: [7920g, 99480g] --- [11g, 99511g]  
99522g/7930g: [7930g, 99480g] --- [11g, 99511g]  
99522g/7940g: [7940g, 99480g] --- [11g, 99511g]  
99522g/7950g: [7950g, 99480g] --- [11g, 99511g]  
99522g/7960g: [7960g, 99480g] --- [11g, 99511g]  
99522g/7970g: [7970g, 99480g] --- [11g, 99511g]  
99522g/7980g: [7980g, 99480g] --- [11g, 99511g]  
99522g/7990g: [7990g, 99480g] --- [11g, 99511g]  
99522g/8000g: [8000g, 99480g] --- [11g, 99511g]  
99522g/8010g: [8010g, 99480g] --- [11g, 99511g]  
99522g/8020g: [8020g, 99480g] --- [11g, 99511g]  
99522g/8030g: [8030g, 99480g] --- [11g, 99511g]  
99522g/8040g: [8040g, 99480g] --- [11g, 99511g]  
99522g/8050g: [8050g, 99480g] --- [11g, 99511g]  
99522g/8060g: [8060g, 99480g] --- [11g, 99511g]  
99522g/8070g: [8070g, 99480g] --- [11g, 99511g]  
99522g/8080g: [8080g, 99480g] --- [11g, 99511g]  
99522g/8090g: [8090g, 99480g] --- [11g, 99511g]  
99522g/8100g: [8100g, 99480g] --- [11g, 99511g]  
99522g/8110g: [8110g, 99480g] --- [11g, 99511g]  
99522g/8120g: [8120g, 99480g] --- [11g, 99511g]  
99522g/8130g: [8130g, 99480g] --- [11g, 99511g]  
99522g/8140g: [8140g, 99480g] --- [11g, 99511g]  
99522g/8150g: [8150g, 99480g] --- [11g, 99511g]  
99522g/8160g: [8160g, 99480g] --- [11g, 99511g]  
99522g/8170g: [8170g, 99480g] --- [11g, 99511g]  
99522g/8180g: [8180g, 99480g] --- [11g, 99511g]  
99522g/8190g: [8190g, 99480g] --- [11g, 99511g]  
99522g/8200g: [8200g, 99480g] --- [11g, 99511g]  
99522g/8210g: [8210g, 99480g] --- [11g, 99511g]  
99522g/8220g: [8220g, 99480g] --- [11g, 99511g]  
99522g/8230g: [8230g, 99480g] --- [11g, 99511g]  
99522g/8240g: [8240g, 99480g] --- [11g, 99511g]  
99522g/8250g: [8250g, 99480g] --- [11g, 99511g]  
99522g/8260g: [8260g, 99480g] --- [11g, 99511g]  
99522g/8270g: [8270g, 99480g] --- [11g, 99511g]  
99522g/8280g: [8280g, 99480g] --- [11g, 99511g]  
99522g/8290g: [8290g, 99480g] --- [11g, 99511g]  
99522g/8300g: [8300g, 99480g] --- [11g, 99511g]  
99522g/8310g: [8310g, 99480g] --- [11g, 99511g]  
99522g/8320g: [8320g, 99480g] --- [11g, 99511g]  
99522g/8330g: [8330g, 99480g] --- [11g, 99511g]  
99522g/8340g: [8340g, 99480g] --- [11g, 99511g]  
99522g/8350g: [8350g, 99480g] --- [11g, 99511g]  
99522g/8360g: [8360g, 99480g] --- [11g, 99511g]  
99522g/8370g: [8370g, 99480g] --- [11g, 99511g]  
99522g/8380g: [8380g, 99480g] --- [11g, 99511g]  
99522g/8390g: [8390g, 99480g] --- [11g, 99511g]  
99522g/8400g: [8400g, 99480g] --- [11g, 99511g]  
99522g/8410g: [8410g, 99480g] --- [11g, 99511g]  
99522g/8420g: [8420g, 99480g] --- [11g, 99511g]  
99522g/8430g: [8430g, 99480g] --- [11g, 99511g]  
99522g/8440g: [8440g, 99480g] --- [11g, 99511g]  
99522g/8450g: [8450g, 99480g] --- [11g, 99511g]  
99522g/8460g: [8460g, 99480g] --- [11g, 99511g]  
99522g/8470g: [8470g, 99480g] --- [11g, 99511g]  
99522g/8480g: [8480g, 99480g] --- [11g, 99511g]  
99522g/8490g: [8490g, 99480g] --- [11g, 99511g]  
99522g/8500g: [8500g, 99480g] --- [11g, 99511g]  
99522g/8510g: [8510g, 99480g] --- [11g, 99511g]  
99522g/8520g: [8520g, 99480g] --- [11g, 99511g]  
99522g/8530g: [8530g, 99480g] --- [11g, 99511g]  
99522g/8540g: [8540g, 99480g] --- [11g, 99511g]  
99522g/8550g: [8550g, 99480g] --- [11g, 99511g]  
99522g/8560g: [8560g, 99480g] --- [11g, 99511g]  
99522g/8570g: [8570g, 99480g] --- [11g, 99511g]  
99522g/8580g: [8580g, 99480g] --- [11g, 99511g]  
99522g/8590g: [8590g, 99480g] --- [11g, 99511g]  
99522g/8600g: [8600g, 99480g] --- [11g, 99511g]  
99522g/8610g: [8610g, 99480g] --- [11g, 99511g]  
99522g/8620g: [8620g, 99480g] --- [11g, 99511g]  
99522g/8630g: [8630g, 99480g] --- [11g, 99511g]  
99522g/8640g: [8640g, 99480g] --- [11g, 99511g]  
99522g/8650g: [8650g, 99480g] --- [11g, 99511g]  
99522g/8660g: [8660g, 99480g] --- [11g, 99511g]  
99522g/8670g: [8670g, 99480g] --- [11g, 99511g]  
99522g/8680g: [8680g, 99480g] --- [11g, 99511g]  
99522g/8690g: [8690g, 99480g] --- [11g, 99511g]  
99522g/8700g: [8700g, 99480g] --- [11g, 99511g]  
99522g/8710g: [8710g, 99480g] --- [11g, 99511g]  
99522g/8720g: [8720g, 99480g] --- [11g, 99511g]  
99522g/8730g: [8730g, 99480g] --- [11g, 99511g]  
99522g/8740g: [8740g, 99480g] --- [11g, 99511g]  
99522g/8750g: [8750g, 99480g] --- [11g, 99511g]  
99522g/8760g: [8760g, 99480g] --- [11g, 99511g]  
99522g/8770g: [8770g, 99480g] --- [11g, 99511g]  
99522g/8780g: [8780g, 99480g] --- [11g, 99511g]  
99522g/8790g: [8790g, 99480g] --- [11g, 99511g]  
99522g/8800g: [8800g, 99480g] --- [11g, 99511g]  
99522g/8810g: [8810g, 99480g] --- [11g, 99511g]  
99522g/8820g: [8820g, 99480g] --- [11g, 99511g]  
99522g/8830g: [8830g, 99480g] --- [11g, 99511g]  
99522g/8840g: [8840g, 99480g] --- [11g, 99511g]  
99522g/8850g: [8850g, 99480g] --- [11g, 99511g]  
99522g/8860g: [8860g, 99480g] --- [11g, 99511g]  
99522g/8870g: [8870g, 99480g] --- [11g, 99511g]  
99522g/8880g: [8880g, 99480g] --- [11g, 99511g]  
99522g/8890g: [8890g, 99480g] --- [11g, 99511g]  
99522g/8900g: [8900g, 99480g] --- [11g, 99511g]  
99522g/8910g: [8910g, 99480g] --- [11g, 99511g]  
99522g/8920g: [8920g, 99480g] --- [11g, 99511g]  
99522g/8930g: [8930g, 99480g] --- [11g, 99511g]  
99522g/8940g: [8940g, 99480g] --- [11g, 99511g]  
99522g/8950g: [8950g, 99480g] --- [11g, 99511g]  
99522g/8960g: [8960g, 99480g] --- [11g, 99511g]  
99522g/8970g: [8970g, 99480g] --- [11g, 99511g]  
99522g/8980g: [8980g, 99480g] --- [11g, 99511g]  
99522g/8990g: [8990g, 99480g] --- [11g, 99511g]  
99522g/9000g: [9000g, 99480g] --- [11g, 99511g]  
99522g/9010g: [9010g, 99480g] --- [11g, 99511g]  
99522g/9020g: [9020g, 99480g] --- [11g, 99511g]  
99522g/9030g: [9030g, 99480g] --- [11g, 99511g]  
99522g/9040g: [9040g, 99480g] --- [11g, 99511g]  
99522g/9050g: [9050g, 99480g] --- [11g, 99511g]  
99522g/9060g: [9060g, 99480g] --- [11g, 99511g]  
99522g/9070g: [9070g, 99480g] --- [11g, 99511g]  
